time,height_delta,beta
256.5358371831163,0,0.45
257.14796456848677,0,0.45
258.13235152578477,1,0.45
258.6639929678474,0,0.45
258.71805737954173,0,0.45
259.0921965236146,0,0.45
260.1391884985277,1,0.45
260.6660620009602,2,0.45
262.1907701148394,1,0.45
262.8925884449182,2,0.45
263.98832508249717,3,0.45
264.2746369233543,4,0.45
265.1544859720954,3,0.45
266.70462096448233,2,0.45
266.9759931645657,2,0.45
267.1435762078951,2,0.45
268.901294965243,1,0.45
269.3396394943354,1,0.45
271.2782988899082,0,0.45
271.8972151985115,1,0.45
272.2346151884861,0,0.45
272.8613816053501,0,0.45
273.4055368058082,1,0.45
275.1835688445764,2,0.45
275.4284324428407,1,0.45
276.90905981979455,0,0.45
277.2184828511158,0,0.45
277.7789647266177,0,0.45
278.0798868624984,1,0.45
278.383197487776,0,0.45
278.5998578072603,0,0.45
278.70174664871837,0,0.45
278.72589024856563,0,0.45
279.0537291971504,0,0.45
279.37951945264257,0,0.45
280.3782693533705,0,0.45
280.69980039274117,1,0.45
281.2065103317002,2,0.45
281.949084401887,3,0.45
283.53912090063994,2,0.45
283.94593835350315,3,0.45
285.22501670577947,4,0.45
286.0712925952274,5,0.45
286.5515663311112,6,0.45
288.52284317924244,5,0.45
289.3615335268061,4,0.45
289.93026956528803,5,0.45
290.9601609633662,4,0.45
292.16251876913003,3,0.45
292.28426718435213,4,0.45
292.4144495795203,4,0.45
293.69655671054505,3,0.45
293.99451706138586,3,0.45
294.132619052298,3,0.45
294.38564229303086,4,0.45
297.6272945746793,5,0.45
297.6331109730858,4,0.45
298.11199892204473,4,0.45
298.1342195605042,3,0.45
300.008936534249,2,0.45
300.0091618077188,3,0.45
300.0534311629071,3,0.45
300.8349373538237,2,0.45
300.92263829077933,2,0.45
302.52486997447335,1,0.45
302.8436977957867,1,0.45
304.56085166923947,0,0.45
305.24284397576776,0,0.45
305.8558428342468,0,0.45
306.5675169583304,0,0.45
307.5900949031164,0,0.45
307.89566163392345,1,0.45
308.85451370480195,2,0.45
310.2806989360097,1,0.45
310.99130919337074,0,0.45
311.4983929548101,0,0.45
313.04532546420177,0,0.45
313.07887601992985,0,0.45
314.53630860325524,0,0.45
315.1870187938261,0,0.45
315.43806756096853,0,0.45
315.49882074226764,0,0.45
315.72136741968194,0,0.45
315.8449634463729,0,0.45
316.10473615401264,0,0.45
316.1220228126693,0,0.45
317.7203519404476,1,0.45
318.8293935626501,2,0.45
319.01518142093727,1,0.45
319.05246055653197,2,0.45
319.5260883090334,1,0.45
319.6090741837089,1,0.45
320.656602618044,2,0.45
320.74778160207654,1,0.45
321.0899055614863,1,0.45
321.0956708361487,1,0.45
